"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "SVG", "CSS", "Less", "Django HTML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\demae-sample\app\Views\profile\payment.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\xampp\htdocs\demae-sample\app\Views\profile\profile.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\xampp\htdocs\demae-sample\app\Views\profile\promotions.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\xampp\htdocs\demae-sample\app\Views\shop\cart.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\xampp\htdocs\demae-sample\app\Views\shop\cart_item.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"c:\xampp\htdocs\demae-sample\app\Views\shop\checkout.php", "PHP", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 172
"c:\xampp\htdocs\demae-sample\app\Views\shop\product-grid.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\xampp\htdocs\demae-sample\app\Views\shop\product-list.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 119
"c:\xampp\htdocs\demae-sample\app\Views\shop\product.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 75
"c:\xampp\htdocs\demae-sample\app\Views\shop\search_widget.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\demae-sample\app\Views\shop\slider.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 130
"c:\xampp\htdocs\demae-sample\app\Views\shop\top_info.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\demae-sample\app\Views\shop\top_info_m.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\demae-sample\app\Views\shop\track.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
